# run,row,col,
1,2232,1633
1,2229,1932
1,1970,2775
1,2048,430
1,1158,1350
1,1574,977
1,1580,326
2,1461,3967
2,1301,1948
2,2092,3131
2,1885,2306
2,1751,1165
2,1800,3486
2,1808,811
3,253,1132
3,2651,1611
3,1660,634
3,1956,2473
3,1817,3522
3,1358,1618
3,360,1290
4,1413,2306
4,303,2282
4,1236,3526
4,1828,2943
4,836,1452
4,441,844
4,987,1530
5,1866,2746
5,922,3941
5,2071,1690
5,1188,3738
5,1707,130
5,1307,1643
5,1301,1804
6,1312,3133
6,1110,1309
6,1316,3696
6,2408,750
6,1017,3253
6,1590,1999
6,2042,2508
7,2430,1120
7,627,3084
7,1975,279
7,294,1346
7,1979,1586
7,1329,3544
7,2486,1330
8,1811,2623
8,2340,2080
8,1080,1084
8,732,1846
8,2032,1742
8,966,1465
8,2086,3383
9,1235,2827
9,1377,3469
9,1918,813
9,1331,2513
9,2467,2404
9,1928,3010
9,1138,3165
10,1251,3585
10,1132,1772
10,1108,2748
10,2550,2309
10,1743,1262
10,989,4045
10,1828,2074
11,1759,221
11,2299,2551
11,2276,1249
11,992,2270
11,1034,3485
11,1609,3823
11,1005,2471
12,1938,603
12,1872,3997
12,2072,844
12,417,782
12,1046,3094
12,1845,104
12,281,1689
13,902,2616
13,2685,2076
13,744,954
13,1590,3301
13,1904,1259
13,2234,1726
13,2513,1169
14,908,2343
14,740,1456
14,644,2378
14,1348,516
14,795,3249
14,866,555
14,946,2303
15,2190,1175
15,2546,1740
15,1157,737
15,432,1494
15,1866,3567
15,2439,2461
15,1458,3624
16,1788,417
16,887,3658
16,2168,1375
16,2593,2123
16,880,2841
16,997,405
16,1731,3882
17,2361,1258
17,1275,491
17,2671,1483
17,2650,1132
17,630,3055
17,2360,1630
17,2307,785
18,2300,1627
18,1865,1126
18,2098,1339
18,255,1978
18,1195,552
18,1896,1504
18,264,1834
19,1849,3519
19,1335,1162
19,1300,3092
19,266,932
19,1862,2760
19,1550,3076
19,675,2450
20,1517,1539
20,2349,1652
20,1275,3442
20,1616,526
20,668,3245
20,1526,1642
20,1848,622
21,1908,3621
21,2432,1907
21,1266,3937
21,1522,1980
21,515,2121
21,1211,3127
21,671,1139
22,2263,2879
22,1341,3130
22,1015,1756
22,1867,3929
22,740,1431
22,2481,1231
22,719,2719
23,887,2826
23,1670,3139
23,1850,2918
23,2053,1930
23,1749,2354
23,2652,2182
23,2210,3396
24,2106,2125
24,1643,2594
24,2169,2819
24,1829,2898
24,1621,2131
24,1858,510
24,1621,2511
25,1252,2250
25,1876,3968
25,2058,797
25,1702,3817
25,1929,3521
25,823,3303
25,1278,3187
26,1738,2869
26,2505,2372
26,1192,1548
26,2527,2083
26,2183,2532
26,1043,2311
26,1002,4110
27,1135,2579
27,1460,3469
27,1205,3184
27,1840,254
27,808,752
27,1151,3097
27,200,2127
28,1124,603
28,1551,877
28,239,2284
28,2375,1314
28,1609,2612
28,1498,4017
28,1651,2590
29,1358,1144
29,1643,1899
29,1021,4179
29,1405,2400
29,1605,3250
29,1754,2983
29,2144,3220
30,436,2131
30,931,3085
30,2549,1597
30,2369,1894
30,226,1664
30,1011,881
30,2040,2576
31,2588,1133
31,1267,1267
31,1123,2919
31,1784,2310
31,1505,3594
31,509,1975
31,2091,2905
32,1211,2892
32,778,1460
32,1742,2530
32,1118,3865
32,2266,2355
32,2517,863
32,1771,3193
33,2210,1226
33,449,884
33,1587,2066
33,1929,793
33,1777,2962
33,2301,1832
33,1673,1124
34,1280,1945
34,2056,2101
34,2224,2149
34,1406,1836
34,1032,1255
34,1615,2190
34,2728,1617
35,2211,541
35,1244,2899
35,622,1475
35,2538,1458
35,1316,625
35,1088,2613
35,1659,3424
36,1648,98
36,733,1202
36,2409,1592
36,1803,3292
36,996,3603
36,2549,946
36,382,1959
37,1430,3820
37,1559,3896
37,2009,3158
37,896,1544
37,1979,3208
37,1842,565
37,588,3058
38,1303,611
38,2186,2473
38,2493,2092
38,2590,973
38,2151,984
38,1634,1981
38,241,1864
39,840,889
39,934,1347
39,227,1644
39,2206,2836
39,597,2986
39,976,2486
39,1874,1417
40,1070,3064
40,1303,4261
40,2354,1212
40,1522,2484
40,683,1426
40,161,1709
40,1649,2886
41,689,1021
41,878,1914
41,1494,3753
41,2327,847
41,609,615
41,1025,2795
41,2145,2315
42,950,1794
42,1230,710
42,2485,2400
42,857,3529
42,1301,3448
42,1178,3219
42,1888,2889
43,914,2317
43,1238,3987
43,797,2886
43,486,1526
43,2036,2831
43,1213,3651
43,1448,3954
44,1309,2211
44,1319,1689
44,1253,2434
44,1514,3784
44,2282,2493
44,1454,3684
44,1913,1148
45,2324,2107
45,1205,2735
45,1587,2229
45,1152,2422
45,381,703
45,2590,1657
45,1448,1844
46,1643,841
46,2108,634
46,2499,2113
46,1732,682
46,2285,1351
46,1352,3346
46,2101,2100
47,2339,2784
47,1172,2694
47,1764,1813
47,836,3758
47,1967,878
47,2738,1629
47,2601,2099
48,693,3460
48,1372,1608
48,1116,596
48,257,2250
48,1279,2674
48,2436,2668
48,2045,1347
49,1018,2641
49,959,976
49,1322,3314
49,2679,1783
49,1746,526
49,2461,1890
49,1091,4223
50,2286,1344
50,1346,3399
50,1861,3699
50,2246,1385
50,937,2292
50,1559,4056
50,713,1833
51,1314,1361
51,1854,2574
51,1874,1080
51,2144,1371
51,1412,2356
51,1800,3434
51,2165,1114
52,2577,1607
52,1551,3914
52,2506,815
52,2359,1727
52,1953,1172
52,490,1401
52,949,3862
53,1174,1647
53,1273,841
53,1788,3736
53,1934,2279
53,1145,1368
53,2122,1680
53,999,1911
54,1673,345
54,1923,2425
54,1372,658
54,1213,456
54,770,827
54,1459,715
54,1278,1759
55,913,739
55,1688,560
55,575,2503
55,633,1488
55,396,2261
55,1589,3798
55,1653,3951
56,1161,2336
56,1697,2522
56,1229,2340
56,827,1733
56,1706,3259
56,999,1806
56,2186,2657
57,2182,766
57,915,3243
57,1185,1426
57,1079,902
57,2066,2876
57,2145,1314
57,1652,4140
58,1396,758
58,2714,1686
58,1702,2680
58,1172,1032
58,608,708
58,1376,3874
58,1937,2260
59,2172,1529
59,379,2236
59,1003,900
59,585,1752
59,1811,1949
59,1750,3465
59,861,2741
60,2348,1796
60,1116,3600
60,1064,783
60,981,3119
60,1857,3297
60,2018,2685
60,984,2437
61,1537,3651
61,1083,1008
61,2066,589
61,2510,1495
61,1578,4066
61,2661,1651
61,1795,3998
62,890,3216
62,722,3281
62,1247,3346
62,1495,529
62,1878,240
62,1337,1252
62,1507,3688
63,676,1639
63,2553,847
63,798,3690
63,461,968
63,1198,3156
63,1758,2374
63,1299,705
64,1518,2551
64,2369,845
64,843,3916
64,2291,1394
64,1394,2140
64,1818,3956
64,853,1255
65,1968,2457
65,2600,1774
65,586,587
65,1554,1737
65,1945,2193
65,885,1335
65,559,2950
66,2280,1304
66,1509,3878
66,1028,3259
66,1867,1361
66,1216,3493
66,1718,2024
66,832,2807
67,924,3482
67,1715,2031
67,639,675
67,1558,3759
67,1460,1512
67,1779,3656
67,950,1473
68,645,882
68,2027,683
68,1777,1221
68,1404,3314
68,644,3486
68,1460,3947
68,2329,1861
69,1503,771
69,2303,686
69,2358,2409
69,398,2170
69,2035,2353
69,1742,401
69,1248,4113
70,1072,1530
70,394,1524
70,1805,398
70,806,1011
70,1816,1913
70,735,2317
70,1314,555
71,1254,4108
71,844,3152
71,1479,3574
71,2126,1348
71,234,1097
71,2512,844
71,1604,2207
72,1026,3831
72,2357,648
